col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010,col_011,col_012,col_013,col_014,col_015,col_016,col_017,col_018,col_019,col_020,col_021,col_022,col_023,col_024,col_025,col_026,col_027,col_028,col_029,col_030,col_031,col_032,col_033,col_034,col_035,col_036,col_037,col_038,col_039,col_040,col_041,col_042,col_043,col_044,col_045,col_046,col_047,col_048,col_049,col_050,col_051,col_052,col_053,col_054,col_055,col_056,col_057,col_058,col_059,col_060,col_061,col_062,col_063,col_064,col_065,col_066,col_067,col_068,col_069,col_070,col_071,col_072,col_073,col_074,col_075,col_076,col_077,col_078,col_079,col_080,col_081,col_082,col_083,col_084,col_085,col_086,col_087,col_088,col_089,col_090,col_091,col_092,col_093,col_094,col_095,col_096,col_097,col_098,col_099,col_100,col_101,col_102,col_103,col_104,col_105,col_106,col_107,col_108,col_109,col_110,col_111,col_112,col_113,col_114,col_115,col_116,col_117,col_118,col_119,col_120,col_121,col_122,col_123,col_124,col_125,col_126,col_127,col_128,col_129,col_130,col_131,col_132,col_133,col_134,col_135,col_136,col_137,col_138,col_139,col_140,col_141,col_142,col_143,col_144,col_145,col_146,col_147,col_148,col_149,col_150,col_151,col_152,col_153,col_154,col_155,col_156,col_157,col_158,col_159,col_160,col_161,col_162,col_163,col_164,col_165,col_166,col_167,col_168,col_169,col_170,col_171,col_172,col_173,col_174,col_175,col_176,col_177,col_178,col_179,col_180,col_181,col_182,col_183,col_184,col_185,col_186,col_187,col_188,col_189,col_190,col_191,col_192,col_193,col_194,col_195,col_196,col_197,col_198,col_199,col_200,col_201,col_202,col_203,col_204,col_205,col_206,col_207,col_208,col_209,col_210,col_211,col_212,col_213,col_214,col_215,col_216,col_217,col_218,col_219,col_220,col_221,col_222,col_223,col_224,col_225,col_226,col_227,col_228,col_229,col_230,col_231,col_232,col_233,col_234,col_235,col_236,col_237,col_238,col_239,col_240,col_241,col_242,col_243,col_244,col_245,col_246,col_247,col_248,col_249,col_250,col_251,col_252,col_253,col_254,col_255,col_256,col_257,col_258,col_259,col_260,col_261,col_262,col_263,col_264,col_265,col_266,col_267,col_268,col_269,col_270,col_271,col_272,col_273,col_274,col_275,col_276,col_277,col_278,col_279,col_280,col_281,col_282,col_283,col_284,col_285,col_286,col_287,col_288,col_289,col_290,col_291,col_292,col_293,col_294,col_295,col_296,col_297,col_298,col_299,col_300,col_301,col_302,col_303,col_304,col_305,col_306,col_307,col_308,col_309,col_310,col_311,col_312,col_313,col_314,col_315,col_316,col_317,col_318,col_319,col_320,col_321,col_322,col_323,col_324
,,수력,Hydro,276,518,145,178,36,80,39,518,1,,,수력,Hydro,0,13,0,2,4,2,0,0,1811,,,,수력,Hydro,276,518,145,178,36,80,39,518,1,,,수력,Hydro,0,13,0,2,4,2,0,0,1811,,,,수력,Hydro,276,518,145,178,36,80,39,518,1,,,수력,Hydro,0,13,0,2,4,2,0,0,1811,,,,수력,Hydro,276,518,145,178,36,80,39,518,1,,,수력,Hydro,0,13,0,2,4,2,0,0,1811,,,,수력,Hydro,276,518,145,178,36,80,39,518,1,,,수력,Hydro,0,13,0,2,4,2,0,0,1811,,,,수력,Hydro,276,518,145,178,36,80,31,518,1,,,수력,Hydro,0,13,0,2,4,2,0,0,1803,,,,수력,Hydro,276,518,145,178,36,80,31,518,1,,,수력,Hydro,0,13,0,2,4,2,0,0,1803,,,,수력,Hydro,276,518,145,178,36,80,31,518,1,,,수력,Hydro,0,13,0,2,4,2,0,0,1803,,,,수력,Hydro,276,518,145,178,36,80,31,518,1,,,수력,Hydro,0,13,0,2,4,2,0,0,1803,,,,수력,Hydro,276,518,145,178,36,80,31,518,1,,,수력,Hydro,0,13,0,2,4,2,0,0,1803,,,,수력,Hydro,276,518,145,178,36,80,31,518,1,,,수력,Hydro,0,13,0,2,4,2,0,0,1803,,,,수력,Hydro,276,518,145,178,36,80,31,518,1,,,수력,Hydro,0,13,0,2,4,2,0,0,1803,
,,해양에너지,Marine,254,0,0,0,1,0,0,0,1,,,해양에너지,Marine,0,0,0,0,0,0,0,0,256,,,,해양에너지,Marine,254,0,0,0,1,0,0,0,1,,,해양에너지,Marine,0,0,0,0,0,0,0,0,256,,,,해양에너지,Marine,254,0,0,0,1,0,0,0,1,,,해양에너지,Marine,0,0,0,0,0,0,0,0,256,,,,해양에너지,Marine,254,0,0,0,1,0,0,0,1,,,해양에너지,Marine,0,0,0,0,0,0,0,0,256,,,,해양에너지,Marine,254,0,0,0,1,0,0,0,1,,,해양에너지,Marine,0,0,0,0,0,0,0,0,256,,,,해양에너지,Marine,254,0,0,0,1,0,0,0,1,,,해양에너지,Marine,0,0,0,0,0,0,0,0,256,,,,해양에너지,Marine,254,0,0,0,1,0,0,0,1,,,해양에너지,Marine,0,0,0,0,0,0,0,0,256,,,,해양에너지,Marine,254,0,0,0,1,0,0,0,1,,,해양에너지,Marine,0,0,0,0,0,0,0,0,256,,,,해양에너지,Marine,254,0,0,0,1,0,0,0,1,,,해양에너지,Marine,0,0,0,0,0,0,0,0,256,,,,해양에너지,Marine,254,0,0,0,1,0,0,0,1,,,해양에너지,Marine,0,0,0,0,0,0,0,0,256,,,,해양에너지,Marine,254,0,0,0,1,0,0,0,1,,,해양에너지,Marine,0,0,0,0,0,0,0,0,256,,,,해양에너지,Marine,254,0,0,0,1,0,0,0,1,,,해양에너지,Marine,0,0,0,0,0,0,0,0,256,
,,바이오가스,Biogas,9,31,2,1,0,17,3,1,3,,,바이오가스,Biogas,6,7,0,0,5,0,0,1,85,,,,바이오가스,Biogas,9,31,2,1,0,17,3,1,3,,,바이오가스,Biogas,6,7,0,0,5,0,0,1,85,,,,바이오가스,Biogas,9,31,2,1,0,17,3,1,3,,,바이오가스,Biogas,6,7,0,0,5,0,0,1,85,,,,바이오가스,Biogas,9,31,2,1,0,17,3,1,3,,,바이오가스,Biogas,6,7,0,0,5,0,0,1,85,,,,바이오가스,Biogas,9,31,2,1,0,17,3,1,3,,,바이오가스,Biogas,6,7,0,0,5,0,0,1,85,,,,바이오가스,Biogas,9,31,2,1,0,17,3,1,3,,,바이오가스,Biogas,6,7,0,0,5,0,0,1,85,,,,바이오가스,Biogas,9,31,2,1,0,17,3,1,3,,,바이오가스,Biogas,6,7,0,0,5,0,0,1,85,,,,바이오가스,Biogas,9,31,2,1,0,17,3,1,3,,,바이오가스,Biogas,6,7,0,0,5,0,0,1,85,,,,바이오가스,Biogas,9,31,2,1,0,17,3,1,3,,,바이오가스,Biogas,6,7,0,0,5,0,0,1,85,,,,바이오가스,Biogas,9,31,2,1,0,17,3,1,3,,,바이오가스,Biogas,6,7,0,0,5,0,0,1,85,,,,바이오가스,Biogas,9,31,2,1,0,17,3,1,3,,,바이오가스,Biogas,6,7,0,0,5,0,0,1,85,,,,바이오가스,Biogas,9,31,2,1,0,17,3,1,3,,,바이오가스,Biogas,6,7,0,0,5,0,0,1,85,
,,매립가스,LFG,0,0,2,2,2,1,0,1,1,,,매립가스,LFG,0,50,0,2,0,0,0,3,64,,,,매립가스,LFG,0,0,2,2,2,1,0,1,1,,,매립가스,LFG,0,50,0,2,0,0,0,3,64,,,,매립가스,LFG,0,0,2,2,2,1,0,1,1,,,매립가스,LFG,0,50,0,2,0,0,0,3,64,,,,매립가스,LFG,0,0,2,2,2,1,0,1,1,,,매립가스,LFG,0,50,0,2,0,0,0,3,64,,,,매립가스,LFG,0,0,2,2,2,1,0,1,1,,,매립가스,LFG,0,50,0,2,0,0,0,3,64,,,,매립가스,LFG,0,0,2,2,2,1,0,1,1,,,매립가스,LFG,0,50,0,2,0,0,0,3,64,,,,매립가스,LFG,0,0,2,2,2,1,0,1,1,,,매립가스,LFG,0,50,0,2,0,0,0,3,64,,,,매립가스,LFG,0,0,2,2,2,1,0,1,1,,,매립가스,LFG,0,50,0,2,0,0,0,3,64,,,,매립가스,LFG,0,0,2,2,2,1,0,1,1,,,매립가스,LFG,0,50,0,2,0,0,0,3,64,,,,매립가스,LFG,0,0,2,2,2,1,0,1,1,,,매립가스,LFG,0,50,0,2,0,0,0,3,64,,,,매립가스,LFG,0,0,2,2,2,1,0,1,1,,,매립가스,LFG,0,50,0,2,0,0,0,3,64,,,,매립가스,LFG,0,0,2,2,2,1,0,1,1,,,매립가스,LFG,0,50,0,2,0,0,0,3,64,
,,바이오중유,Bio Heavy Oil,0,0,0,0,0,0,0,0,350,,,바이오중유,Bio Heavy Oil,0,0,0,0,0,0,0,0,350,,,,바이오중유,Bio Heavy Oil,0,0,0,0,0,0,0,0,350,,,바이오중유,Bio Heavy Oil,0,0,0,0,0,0,0,0,350,,,,바이오중유,Bio Heavy Oil,0,0,0,0,0,0,0,0,350,,,바이오중유,Bio Heavy Oil,0,0,0,0,0,0,0,0,350,,,,바이오중유,Bio Heavy Oil,0,0,0,0,0,0,0,0,350,,,바이오중유,Bio Heavy Oil,0,0,0,0,0,0,0,0,350,,,,바이오중유,Bio Heavy Oil,0,0,0,0,0,0,0,0,350,,,바이오중유,Bio Heavy Oil,0,0,0,0,0,0,0,0,350,,,,바이오중유,Bio Heavy Oil,0,0,0,0,0,0,0,0,350,,,바이오중유,Bio Heavy Oil,0,0,0,0,0,0,0,0,350,,,,바이오중유,Bio Heavy Oil,0,0,0,0,0,0,0,0,350,,,바이오중유,Bio Heavy Oil,0,0,0,0,0,0,0,0,350,,,,바이오중유,Bio Heavy Oil,0,0,0,0,0,0,0,0,390,,,바이오중유,Bio Heavy Oil,0,0,0,0,0,0,0,0,390,,,,바이오중유,Bio Heavy Oil,0,0,0,0,0,0,0,0,390,,,바이오중유,Bio Heavy Oil,0,0,0,0,0,0,0,0,390,,,,바이오중유,Bio Heavy Oil,0,0,0,0,0,0,0,0,390,,,바이오중유,Bio Heavy Oil,0,0,0,0,0,0,0,0,390,,,,바이오중유,Bio Heavy Oil,0,0,0,0,0,0,0,0,390,,,바이오중유,Bio Heavy Oil,0,0,0,0,0,0,0,0,390,,,,바이오중유,Bio Heavy Oil,0,0,0,0,0,0,0,0,390,,,바이오중유,Bio Heavy Oil,0,0,0,0,0,0,0,0,390,
,,바이오매스,Biomass,50,325,10,0,0,149,369,0,3,,,바이오매스,Biomass,1,21,0,0,0,5,0,2,935,,,,바이오매스,Biomass,50,325,10,0,0,149,369,0,3,,,바이오매스,Biomass,1,21,0,0,0,5,0,2,935,,,,바이오매스,Biomass,50,325,10,0,0,399,369,0,3,,,바이오매스,Biomass,1,21,0,0,0,5,0,2,1185,,,,바이오매스,Biomass,50,325,10,0,0,459,369,0,3,,,바이오매스,Biomass,1,21,0,0,0,5,0,2,1245,,,,바이오매스,Biomass,50,325,10,0,0,459,369,0,3,,,바이오매스,Biomass,1,21,0,0,0,5,0,2,1245,,,,바이오매스,Biomass,50,325,10,0,0,459,369,0,3,,,바이오매스,Biomass,1,21,0,0,0,5,0,2,1245,,,,바이오매스,Biomass,50,325,10,0,0,459,369,0,3,,,바이오매스,Biomass,1,21,0,0,0,5,0,2,1245,,,,바이오매스,Biomass,50,328,10,0,0,459,369,0,3,,,바이오매스,Biomass,1,21,0,0,0,5,0,2,1248,,,,바이오매스,Biomass,50,328,10,0,0,459,369,0,3,,,바이오매스,Biomass,1,21,0,0,0,5,0,2,1248,,,,바이오매스,Biomass,50,328,10,0,0,459,369,0,3,,,바이오매스,Biomass,1,21,0,0,0,5,0,2,1248,,,,바이오매스,Biomass,50,328,10,0,0,459,369,0,3,,,바이오매스,Biomass,1,21,0,0,0,5,0,2,1248,,,,바이오매스,Biomass,50,328,10,0,0,459,369,0,3,,,바이오매스,Biomass,1,21,0,0,0,5,0,2,1248,
,,합계,Total,1090,1894,612,1216,2267,972,1558,821,954,,,합계,Total,89,397,21,63,56,37,69,128,12245,,,,합계,Total,1092,1896,615,1220,2295,1093,1562,825,956,,,합계,Total,89,397,21,64,56,37,69,128,12414,,,,합계,Total,1097,1903,624,1225,2311,1346,1564,832,962,,,합계,Total,91,398,21,64,56,37,69,128,12730,,,,합계,Total,1098,1905,629,1230,2348,1407,1567,839,962,,,합계,Total,91,398,22,77,58,38,69,128,12866,,,,합계,Total,1099,1905,655,1236,2373,1420,1573,841,966,,,합계,Total,91,398,22,79,58,38,69,128,12949,,,,합계,Total,1112,1907,656,1237,2379,1424,1573,848,968,,,합계,Total,91,398,22,79,59,38,69,128,12986,,,,합계,Total,1116,1914,660,1243,2390,1427,1583,849,971,,,합계,Total,91,413,22,79,59,39,70,131,13059,,,,합계,Total,1120,1944,671,1258,2432,1436,1590,865,1016,,,합계,Total,91,413,22,79,60,39,70,131,13237,,,,합계,Total,1122,1970,681,1266,2538,1443,1607,888,1031,,,합계,Total,91,413,22,79,60,41,70,135,13456,,,,합계,Total,1132,1973,686,1272,2565,1444,1610,889,1048,,,합계,Total,91,415,22,88,62,41,69,137,13540,,,,합계,Total,1157,1973,692,1283,2613,1446,1610,894,1055,,,합계,Total,92,415,22,88,63,41,66,144,13652,,,,합계,Total,1166,2019,705,1346,2718,1447,1645,897,1061,,,합계,Total,92,415,22,90,65,41,66,149,13944,
"전력거래량
(PPA제외)
(MWh)","Electric Energy Trading Volume
(MWh)",연료전지,Fuel Cell,125380,21669,1756,2321,24861,0,32977,14972,0,"전력거래량
(PPA제외)
(MWh)","Electric Energy Trading Volume
(MWh)",연료전지,Fuel Cell,32166,128812,4698,0,395,3605,18148,28165,439925,,"전력거래량
(PPA제외)
(MWh)","Electric Energy Trading Volume
(MWh)",연료전지,Fuel Cell,114853,19662,1578,2094,22578,0,30278,13572,0,"전력거래량
(PPA제외)
(MWh)","Electric Energy Trading Volume
(MWh)",연료전지,Fuel Cell,28871,119570,4626,0,612,3229,16373,25450,403347,,"전력거래량
(PPA제외)
(MWh)","Electric Energy Trading Volume
(MWh)",연료전지,Fuel Cell,126678,21335,1730,2223,25068,2801,44214,15012,0,"전력거래량
(PPA제외)
(MWh)","Electric Energy Trading Volume
(MWh)",연료전지,Fuel Cell,30653,129864,4602,0,683,3544,18185,27967,454560,,"전력거래량
(PPA제외)
(MWh)","Electric Energy Trading Volume
(MWh)",연료전지,Fuel Cell,125061,21867,1608,2185,23562,10729,42446,14507,0,"전력거래량
(PPA제외)
(MWh)","Electric Energy Trading Volume
(MWh)",연료전지,Fuel Cell,28519,125143,4765,1031,657,3349,17615,27114,450157,,"전력거래량
(PPA제외)
(MWh)","Electric Energy Trading Volume
(MWh)",연료전지,Fuel Cell,129857,24620,1649,2206,24674,10938,43980,14957,0,"전력거래량
(PPA제외)
(MWh)","Electric Energy Trading Volume
(MWh)",연료전지,Fuel Cell,26942,130279,5083,3305,656,3632,18424,27775,468977,,"전력거래량
(PPA제외)
(MWh)","Electric Energy Trading Volume
(MWh)",연료전지,Fuel Cell,121039,23686,1608,2145,23561,10552,42082,14354,0,"전력거래량
(PPA제외)
(MWh)","Electric Energy Trading Volume
(MWh)",연료전지,Fuel Cell,27361,85981,4929,2456,654,3323,18138,26824,408693,,"전력거래량
(PPA제외)
(MWh)","Electric Energy Trading Volume
(MWh)",연료전지,Fuel Cell,127042,23237,1635,1694,24014,10894,42690,14783,0,"전력거래량
(PPA제외)
(MWh)","Electric Energy Trading Volume
(MWh)",연료전지,Fuel Cell,26101,95195,5138,3703,674,3535,18332,27448,426115,,"전력거래량
(PPA제외)
(MWh)","Electric Energy Trading Volume
(MWh)",연료전지,Fuel Cell,126588,24452,1630,1662,23911,10917,42820,14741,0,"전력거래량
(PPA제외)
(MWh)","Electric Energy Trading Volume
(MWh)",연료전지,Fuel Cell,25968,98409,5002,8133,666,3232,18115,27530,433777,,"전력거래량
(PPA제외)
(MWh)","Electric Energy Trading Volume
(MWh)",연료전지,Fuel Cell,126885,23820,1548,1550,23122,10554,42052,14433,0,"전력거래량
(PPA제외)
(MWh)","Electric Energy Trading Volume
(MWh)",연료전지,Fuel Cell,24722,94644,4859,8494,635,3049,17350,25638,423357,,"전력거래량
(PPA제외)
(MWh)","Electric Energy Trading Volume
(MWh)",연료전지,Fuel Cell,129318,24728,2422,1563,23950,10941,42705,17082,0,"전력거래량
(PPA제외)
(MWh)","Electric Energy Trading Volume
(MWh)",연료전지,Fuel Cell,24625,101183,4545,8663,662,3176,17924,27163,440650,,"전력거래량
(PPA제외)
(MWh)","Electric Energy Trading Volume
(MWh)",연료전지,Fuel Cell,125132,22964,2805,1497,22372,10600,40840,27037,0,"전력거래량
(PPA제외)
(MWh)","Electric Energy Trading Volume
(MWh)",연료전지,Fuel Cell,23250,101047,4978,8739,638,3166,17554,26430,439050,,"전력거래량
(PPA제외)
(MWh)","Electric Energy Trading Volume
(MWh)",연료전지,Fuel Cell,136891,20365,2899,1468,23898,10987,38749,29772,0,"전력거래량
(PPA제외)
(MWh)","Electric Energy Trading Volume
(MWh)",연료전지,Fuel Cell,24022,122236,5194,13452,654,3482,18826,27203,480098,
,,IGCC,IGCC,0,0,0,0,0,0,188625,0,0,,,IGCC,IGCC,0,0,0,0,0,0,0,0,188625,,,,IGCC,IGCC,0,0,0,0,0,0,164442,0,0,,,IGCC,IGCC,0,0,0,0,0,0,0,0,164442,,,,IGCC,IGCC,0,0,0,0,0,0,190873,0,0,,,IGCC,IGCC,0,0,0,0,0,0,0,0,190873,,,,IGCC,IGCC,0,0,0,0,0,0,125475,0,0,,,IGCC,IGCC,0,0,0,0,0,0,0,0,125475,,,,IGCC,IGCC,0,0,0,0,0,0,5797,0,0,,,IGCC,IGCC,0,0,0,0,0,0,0,0,5797,,,,IGCC,IGCC,0,0,0,0,0,0,93958,0,0,,,IGCC,IGCC,0,0,0,0,0,0,0,0,93958,,,,IGCC,IGCC,0,0,0,0,0,0,188875,0,0,,,IGCC,IGCC,0,0,0,0,0,0,0,0,188875,,,,IGCC,IGCC,0,0,0,0,0,0,194186,0,0,,,IGCC,IGCC,0,0,0,0,0,0,0,0,194186,,,,IGCC,IGCC,0,0,0,0,0,0,135439,0,0,,,IGCC,IGCC,0,0,0,0,0,0,0,0,135439,,,,IGCC,IGCC,0,0,0,0,0,0,77527,0,0,,,IGCC,IGCC,0,0,0,0,0,0,0,0,77527,,,,IGCC,IGCC,0,0,0,0,0,0,0,0,0,,,IGCC,IGCC,0,0,0,0,0,0,0,0,0,,,,IGCC,IGCC,0,0,0,0,0,0,140544,0,0,,,IGCC,IGCC,0,0,0,0,0,0,0,0,140544,
,,태양광,Photovoltaic,22999,44332,37355,59707,173012,58661,67589,23624,24706,,,태양광,Photovoltaic,1321,4067,1175,5010,4307,2069,3718,7527,541183,,,,태양광,Photovoltaic,28052,55326,43435,69996,197529,69124,78104,27884,27423,,,태양광,Photovoltaic,1521,4729,1337,5756,4906,2353,4289,8701,630465,,,,태양광,Photovoltaic,29358,57414,45250,68402,217344,81562,81659,29683,34843,,,태양광,Photovoltaic,1658,4850,1369,6448,5244,2541,4202,8587,680415,,,,태양광,Photovoltaic,40231,78081,53955,88055,271609,114279,109342,41314,42491,,,태양광,Photovoltaic,2307,6480,1866,8313,6367,3473,5175,10298,883637,,,,태양광,Photovoltaic,45197,85628,62674,102726,303895,130215,125613,48263,44689,,,태양광,Photovoltaic,2577,7363,2209,9505,7774,4178,6232,12630,1001368,,,,태양광,Photovoltaic,29277,58957,45906,77200,223940,95858,84614,34594,33447,,,태양광,Photovoltaic,1570,4514,1450,7081,6004,2930,4523,8835,720699,,,,태양광,Photovoltaic,33212,60455,46004,70790,236824,93556,92966,34704,38103,,,태양광,Photovoltaic,1757,5316,1387,6906,5547,3032,4274,9516,744347,,,,태양광,Photovoltaic,26596,48786,40747,60072,211930,81753,73490,28240,39955,,,태양광,Photovoltaic,1467,4562,1229,6201,4526,2461,3925,8634,644574,,,,태양광,Photovoltaic,32992,61534,42250,67087,215171,92334,86261,36347,30834,,,태양광,Photovoltaic,1806,5247,1494,6556,4986,2883,3365,8014,699161,,,,태양광,Photovoltaic,30650,53697,51230,71871,270991,99993,91120,33397,41246,,,태양광,Photovoltaic,1686,5093,1440,7319,5801,2938,3962,9386,781822,,,,태양광,Photovoltaic,23072,46154,39648,59643,194126,71312,68206,25282,32114,,,태양광,Photovoltaic,1368,3807,1053,5273,4556,2139,3314,7947,589014,,,,태양광,Photovoltaic,17662,33586,38953,51849,148200,46789,45941,14497,20694,,,태양광,Photovoltaic,1251,3358,813,3169,4535,1380,3231,8591,444498,
,,풍력,Wind,438,88440,5891,96292,61938,15943,83,0,71155,,,풍력,Wind,0,4309,0,0,0,0,94,0,344582,,,,풍력,Wind,595,115152,9545,116523,71766,18296,216,0,68004,,,풍력,Wind,0,5905,0,0,0,0,107,0,406108,,,,풍력,Wind,410,83605,7802,82096,54116,15398,193,0,54270,,,풍력,Wind,0,4271,0,0,0,0,30,0,302192,,,,풍력,Wind,382,91828,6996,80964,33133,10791,168,0,30923,,,풍력,Wind,0,3270,0,0,0,0,0,0,258455,,,,풍력,Wind,422,94666,8216,71550,28587,9813,304,0,26166,,,풍력,Wind,0,3796,0,0,0,0,0,0,243521,,,,풍력,Wind,418,71896,12239,65677,43505,13571,68,0,39547,,,풍력,Wind,0,3122,0,0,0,0,0,0,250043,,,,풍력,Wind,173,27319,7546,24153,35757,8794,134,0,30060,,,풍력,Wind,0,1336,0,0,0,0,0,0,135273,,,,풍력,Wind,292,74150,12407,57839,40152,15355,255,0,31801,,,풍력,Wind,0,2167,0,0,0,0,0,0,234418,,,,풍력,Wind,410,54484,15459,56650,40314,10508,238,0,45740,,,풍력,Wind,0,2216,0,0,0,0,0,0,226019,,,,풍력,Wind,372,45959,14618,58786,60723,14847,148,0,53709,,,풍력,Wind,0,3272,0,0,0,0,0,0,252435,,,,풍력,Wind,169,71984,10241,63651,48401,11762,71,0,45791,,,풍력,Wind,0,2298,0,0,0,0,0,0,254367,,,,풍력,Wind,333,132888,20810,138713,64098,16552,142,0,72162,,,풍력,Wind,0,2550,0,0,0,0,0,0,448248,
,,수력,Hydro,32307,55199,17609,15750,5308,10452,4229,40797,216,,,수력,Hydro,0,3235,0,890,1014,0,137,0,187141,,,,수력,Hydro,28260,48739,15703,14843,4414,8983,4254,36176,203,,,수력,Hydro,0,2107,0,731,588,0,52,0,165052,,,,수력,Hydro,47540,63456,19892,19271,5341,10650,4093,32612,234,,,수력,Hydro,0,1806,0,605,1331,0,0,0,206831,,,,수력,Hydro,41106,61227,18342,20576,4915,12503,2912,36762,220,,,수력,Hydro,0,2041,0,537,1488,0,0,0,202629,,,,수력,Hydro,39258,67042,16299,27446,5276,34010,2624,44453,224,,,수력,Hydro,0,2184,0,565,1251,0,0,0,240631,,,,수력,Hydro,63106,79386,21330,27457,5033,29776,3093,42453,217,,,수력,Hydro,0,1878,0,483,1352,0,0,0,275564,,,,수력,Hydro,109858,135553,20622,22030,4462,25455,5227,65983,197,,,수력,Hydro,0,2255,0,438,1240,0,0,0,393321,,,,수력,Hydro,105005,228267,20494,19780,4024,25255,6169,271888,239,,,수력,Hydro,0,2688,0,492,987,0,0,0,685288,,,,수력,Hydro,88721,179801,19778,22356,3652,20515,5068,135647,225,,,수력,Hydro,0,2357,0,501,1521,0,0,0,480143,,,,수력,Hydro,68152,84436,14279,16996,3642,11423,4970,38973,213,,,수력,Hydro,0,2480,0,453,1542,0,3,0,247563,,,,수력,Hydro,45506,74441,16843,16029,3346,10846,3710,33600,215,,,수력,Hydro,0,2572,0,280,1479,0,77,0,208943,,,,수력,Hydro,39881,73000,15393,12392,3377,10794,4471,30820,236,,,수력,Hydro,0,2834,0,294,1172,0,169,0,194832,
,,해양에너지,Marine,38802,0,0,0,0,0,0,0,0,,,해양에너지,Marine,0,0,0,0,0,0,0,0,38802,,,,해양에너지,Marine,34351,0,0,0,0,0,0,0,1,,,해양에너지,Marine,0,0,0,0,0,0,0,0,34352,,,,해양에너지,Marine,27134,0,0,0,0,0,0,0,0,,,해양에너지,Marine,0,0,0,0,0,0,0,0,27134,,,,해양에너지,Marine,37509,0,0,0,0,0,0,0,0,,,해양에너지,Marine,0,0,0,0,0,0,0,0,37509,,,,해양에너지,Marine,38068,0,0,0,0,0,0,0,0,,,해양에너지,Marine,0,0,0,0,0,0,0,0,38068,,,,해양에너지,Marine,22694,0,0,0,0,0,0,0,0,,,해양에너지,Marine,0,0,0,0,0,0,0,0,22694,,,,해양에너지,Marine,35716,0,0,0,0,0,0,0,0,,,해양에너지,Marine,0,0,0,0,0,0,0,0,35716,,,,해양에너지,Marine,38445,0,0,0,0,0,0,0,0,,,해양에너지,Marine,0,0,0,0,0,0,0,0,38445,,,,해양에너지,Marine,39890,0,0,0,0,0,0,0,0,,,해양에너지,Marine,0,0,0,0,0,0,0,0,39890,,,,해양에너지,Marine,39706,0,0,0,0,0,0,0,0,,,해양에너지,Marine,0,0,0,0,0,0,0,0,39706,,,,해양에너지,Marine,35045,0,0,0,0,0,0,0,0,,,해양에너지,Marine,0,0,0,0,0,0,0,0,35045,,,,해양에너지,Marine,36479,0,0,0,0,0,0,0,0,,,해양에너지,Marine,0,0,0,0,0,0,0,0,36479,
,,바이오가스,Biogas,1383,17871,447,464,93,9160,541,598,243,,,바이오가스,Biogas,1998,345,0,0,26,0,0,174,33343,,,,바이오가스,Biogas,1025,15606,437,388,70,8328,415,521,228,,,바이오가스,Biogas,2134,121,0,0,255,0,0,286,29815,,,,바이오가스,Biogas,873,5503,515,378,127,8003,434,569,287,,,바이오가스,Biogas,2724,823,0,0,696,0,0,470,21401,,,,바이오가스,Biogas,1474,15083,528,508,118,9024,622,513,278,,,바이오가스,Biogas,2821,848,0,0,716,0,0,374,32908,,,,바이오가스,Biogas,1686,18268,552,568,115,9248,464,566,284,,,바이오가스,Biogas,2688,1050,0,0,766,0,0,360,36616,,,,바이오가스,Biogas,1339,17598,472,567,123,3953,463,488,258,,,바이오가스,Biogas,2147,882,0,0,360,0,0,261,28912,,,,바이오가스,Biogas,1391,17483,376,551,127,8598,316,471,197,,,바이오가스,Biogas,2165,1209,0,0,0,0,0,154,33037,,,,바이오가스,Biogas,975,17731,515,349,136,9315,226,353,182,,,바이오가스,Biogas,1903,851,0,0,135,0,0,272,32943,,,,바이오가스,Biogas,1031,1169,567,483,120,6768,102,305,204,,,바이오가스,Biogas,2069,946,0,0,452,0,0,491,14708,,,,바이오가스,Biogas,779,3972,636,495,121,9540,132,354,201,,,바이오가스,Biogas,2363,1365,0,0,495,0,0,442,20895,,,,바이오가스,Biogas,844,17443,745,528,60,7727,171,445,179,,,바이오가스,Biogas,2441,881,0,0,644,0,0,441,32551,,,,바이오가스,Biogas,855,18082,725,515,102,9210,30,491,176,,,바이오가스,Biogas,2330,559,0,0,684,0,0,408,34166,
