col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010,col_011,col_012,col_013,col_014,col_015,col_016,col_017,col_018,col_019,col_020,col_021
2008,39.82,63.46,87.48,81.11,95.14,80.26,145.34,68.31,20.9,,,,,,,,,,,
2009,36.16,64.72,84.27,86.29,87.73,78.88,124.25,66.34,-2.9,,,,,,,,,,,
2010,40.87,69.92,89.56,92.69,89.52,84.97,128.99,73.09,10.2,,,,,,,,,,,
2011,42.79,74.23,97.26,98.04,101.54,91.89,134.67,79.55,8.8,,,,,,,,,,,
2012,45.06,75.35,108.16,109.65,113.56,106.29,167.37,90.17,13.3,,,,,,,,,,,
2013,45.3,67.41,101.18,102.13,107.99,97.24,159.35,87.69,-2.7,,,,,,,,,,,
2014,59.04,67.88,98.03,99.64,108.85,91.1,148.78,89.48,2,,,,,,,,,,,
2015,64.48,70.6,87.16,89.15,90.75,84.66,116.17,82.67,-7.6,,,,,,,,,,,
2016,68.88,71.59,84.43,85.63,86.66,84.63,91.84,79.58,-3.7,,,,,,,,,,,
2017,62.23,76.36,87.53,91.61,90.98,91.92,100.63,82.98,4.3,,,,,,,,,,,
2018,64.35,81.35,92.38,96.41,97.83,94.1,110.97,90.09,8.6,,,,,,,,,,,
2019,60.12,84.52,101.17,98.65,101.91,96.83,107.91,89.44,-0.7,,,,,,,,,,,
2020,60.87,81.02,89.78,92.8,95.14,92.37,87.32,80.35,-10.2,,,,,,,,,,,
2021,58.44,98.36,111.84,108.2,113.67,109.3,111.93,95,18.2,,,,,,,,,,,
2022,58.46,166.4,187.56,192.19,185.05,178.18,214.43,152.99,61,,,,,,,,,,,
2022.1,66.88,129.22,161.08,157.84,172.26,134.87,185.24,135,46.3,,,,,,,,,,,
2,73.56,147.47,190.31,167.8,193.15,147.22,224.4,157.38,72.2,,,,,,,,,,,
3,64.24,155.02,167.15,166.58,187.46,156.82,204.68,150.07,70.6,,,,,,,,,,,
4,57.86,177.75,172.85,170.79,187.53,202.37,215.09,153.23,94.4,,,,,,,,,,,
5,42.64,140.67,132.94,132.96,148.41,147.02,152.11,110.72,33.8,,,,,,,,,,,
6,41.81,132.58,136.21,131.83,139.94,141.09,146.21,108.17,20.1,,,,,,,,,,,
7,58.38,162.12,160.23,166.33,170.79,177.19,179.8,138.37,39.3,,,,,,,,,,,
8,69.63,186.72,235.54,223.93,213.43,216.66,239.79,175.39,77.8,,,,,,,,,,,
9,56.8,183.31,227.42,253.91,190.87,199.81,265.65,175.65,98.2,,,,,,,,,,,
10,56.15,192.51,246.78,260.24,201.87,213.48,260.09,176.96,96.1,,,,,,,,,,,
11,56.24,203.09,225.1,236.59,192.74,217.41,256.64,177.11,64.5,,,,,,,,,,,
12,56.05,192.97,210.85,233.78,223.15,187.29,240.83,176,41.4,,,,,,,,,,,
5-3. 연료원별 정산단가,,,,,,,,,,,,,,,,,,,,
Unit Price of Settlement by Fuel Type,,,,,,,,,,,,,,,,,,,,
구분,원자력,석탄,LNG,유류,양수,신재생,기타,평균,증감률,"[단위 : 원/kWh, %]",,,,,,,,,,
,Nuclear Power,Coal,LNG,Oil,PSH,Renewable,Others,Average,Rate of Change,"[Unit : Won/kWh, %]",,,,,,,,,,
,,,,,,,,,(%),,,,,,,,,,,
2001,39.65,42.26,87.77,73.37,75.06,57.32,,47.85,,,,,,,,,,,,
2002,39.55,42.71,75.6,70.94,83.58,54.22,,47.14,-1.5,,,,,,,,,,,
2003,39.75,42.63,82.92,76.03,94.08,56.7,,48.64,3.2,,,,,,,,,,,
2004,39.52,42.3,77.91,81.33,108.2,61.19,,49.2,1.2,,,,,,,,,,,
2005,39.1,43.95,87.07,92.5,108.28,69.56,,50.96,3.6,,,,,,,,,,,
2006,38.13,39.05,102.95,116.43,136.8,83.57,,53.3,4.6,,,,,,,,,,,
2007,39.4,41.83,104.93,118.3,163.31,91.16,,56.51,6,,,,,,,,,,,
2008,39.02,53.67,143.72,194.43,196.78,132.22,,68.31,20.9,,,,,,,,,,,
2009,35.56,62.15,129.51,147.24,149.7,107.04,,66.34,-2.9,,,,,,,,,,,
2010,39.61,62.77,128.06,184.6,202.61,117.34,,73.09,10.2,,,,,,,,,,,
2011,39.12,68.39,142.36,225.82,168.83,113.58,,79.55,8.8,,,,,,,,,,,
2012,39.52,67.81,168.1,252.96,213.93,136.1,,90.17,13.3,,,,,,,,,,,
2013,39.03,59.87,160.74,221.7,204.21,133.49,146.08,87.69,-2.7,,,,,,,,,,,
2014,54.7,64.36,160.69,221.24,171.5,122.9,142.58,89.48,2,,,,,,,,,,,
2015,62.69,69.59,126.14,150.28,132.75,101.13,95.04,82.67,-7.6,,,,,,,,,,,
2016,67.91,74.44,99.33,109.5,106.21,88.06,73.97,79.58,-3.7,,,,,,,,,,,
2017,60.68,78.79,111.6,165.44,107.6,90.52,80.01,82.98,4.3,,,,,,,,,,,
2018,62.1,82.05,121.03,179.43,125.37,98.61,94.29,90.09,8.6,,,,,,,,,,,
2019,58.31,86.36,118.65,228.48,121.25,99.97,92.99,89.44,-0.7,,,,,,,,,,,
2020,59.61,81.51,98.55,193.02,112.8,80.28,84.52,80.35,-10.2,,,,,,,,,,,
2021,56.15,99.06,121.7,217.17,140.13,106.42,94.98,95,18.2,,,,,,,,,,,
2022,52.48,156.99,239.17,299.78,277.58,203.87,196.29,152.99,61,,,,,,,,,,,
2022.1,61.51,128.55,206.21,215.52,299.64,169.11,159.04,135,46.3,,,,,,,,,,,
2,67.89,145.52,247.09,271.55,287.66,204.46,199.57,157.38,72.2,,,,,,,,,,,
3,59.28,143.32,218.43,276.38,226.68,200.56,194.61,150.07,70.6,,,,,,,,,,,
4,53.34,162.89,229.61,293.02,238.36,208.68,204.05,153.23,94.4,,,,,,,,,,,
5,39.37,128.97,161.94,307.54,167.6,153.47,146.83,110.72,33.8,,,,,,,,,,,
6,38.45,126.69,155.65,366.66,168.9,144.15,135.42,108.17,20.1,,,,,,,,,,,
7,51.96,150.96,198.07,445.76,293.3,171.85,159.24,138.37,39.3,,,,,,,,,,,
8,60.9,190.02,274.27,611.18,376.91,221.4,211.57,175.39,77.8,,,,,,,,,,,
9,48.32,183.99,293.32,419.33,323.42,252.72,233.32,175.65,98.2,,,,,,,,,,,
10,48.38,180.06,302.78,319.11,315.43,266.55,255.61,176.96,96.1,,,,,,,,,,,
11,48.91,177.22,294.21,325.16,317.04,258.6,241.59,177.11,64.5,,,,,,,,,,,
12,50.44,162.99,296.05,387.6,288.69,185.66,184.65,176,41.4,,,,,,,,,,,
