col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010,col_011,col_012,col_013,col_014,col_015,col_016,col_017,col_018,col_019,col_020,col_021,col_022,col_023,col_024,col_025,col_026,col_027,col_028,col_029,col_030,col_031,col_032,col_033,col_034,col_035,col_036,col_037,col_038,col_039,col_040,col_041,col_042,col_043,col_044,col_045,col_046,col_047,col_048,col_049,col_050,col_051,col_052,col_053,col_054,col_055,col_056,col_057,col_058,col_059,col_060,col_061,col_062,col_063,col_064,col_065,col_066,col_067,col_068,col_069,col_070,col_071,col_072,col_073,col_074,col_075,col_076,col_077,col_078,col_079,col_080,col_081,col_082,col_083,col_084,col_085,col_086,col_087,col_088,col_089,col_090,col_091,col_092,col_093,col_094,col_095,col_096,col_097,col_098,col_099,col_100,col_101,col_102,col_103,col_104,col_105,col_106,col_107,col_108
원자력,Nuclear Power,0,0,0,0,0,0,,원자력,Nuclear Power,0,0,0,0,0,0,,원자력,Nuclear Power,0,0,0,0,0,0,,원자력,Nuclear Power,0,0,0,0,0,0,,원자력,Nuclear Power,0,0,0,0,0,0,,원자력,Nuclear Power,0,0,0,0,0,0,,원자력,Nuclear Power,0,0,0,0,0,0,,원자력,Nuclear Power,0,0,0,0,0,0,,원자력,Nuclear Power,0,0,0,0,0,0,,원자력,Nuclear Power,0,0,0,0,0,0,,원자력,Nuclear Power,0,0,0,0,0,0,,원자력,Nuclear Power,0,0,0,0,0,0,
석탄,Coal,1943,245,0,0,26576,28764,,석탄,Coal,1610,210,0,0,21481,23300,,석탄,Coal,1333,345,0,0,17779,19457,,석탄,Coal,1094,69,0,0,15560,16723,,석탄,Coal,1075,155,0,0,20245,21475,,석탄,Coal,1279,204,0,0,15042,16525,,석탄,Coal,1638,305,0,0,19266,21208,,석탄,Coal,1690,191,0,0,16816,18696,,석탄,Coal,1214,118,0,0,18236,19569,,석탄,Coal,1070,68,0,0,14096,15234,,석탄,Coal,1220,101,0,0,17097,18417,,석탄,Coal,1471,93,0,0,4055,5620,
LNG,LNG,1475,2989,44,3,65555,70066,,LNG,LNG,1323,2527,43,3,53141,57038,,LNG,LNG,1369,2717,83,3,47530,51702,,LNG,LNG,994,1277,51,2,52275,54599,,LNG,LNG,983,1272,83,3,51512,53852,,LNG,LNG,977,1249,78,2,29847,32154,,LNG,LNG,1020,1368,75,3,32062,34528,,LNG,LNG,1092,1277,84,3,29880,32336,,LNG,LNG,1053,1331,82,2,48114,50582,,LNG,LNG,969,1231,49,3,47323,49574,,LNG,LNG,954,1108,26,2,44690,46781,,LNG,LNG,999,940,48,3,8265,10255,
유류,Oil,6,2,19,2,143,173,,유류,Oil,7,2,18,2,128,158,,유류,Oil,8,3,20,2,137,171,,유류,Oil,4,0,17,2,70,94,,유류,Oil,2,0,20,2,38,62,,유류,Oil,1,0,17,1,9,28,,유류,Oil,1,0,16,3,8,28,,유류,Oil,0,0,17,3,9,29,,유류,Oil,0,0,17,3,6,26,,유류,Oil,1,0,44,2,33,80,,유류,Oil,1,0,45,0,11,57,,유류,Oil,1,0,53,2,5,60,
양수,PSH,79,135,746,136,2477,3572,,양수,PSH,70,133,697,123,2307,3329,,양수,PSH,87,154,662,135,2257,3295,,양수,PSH,66,47,665,120,1818,2716,,양수,PSH,60,32,676,124,1412,2305,,양수,PSH,46,30,585,105,754,1519,,양수,PSH,49,36,612,106,885,1688,,양수,PSH,44,32,689,107,775,1646,,양수,PSH,56,34,695,113,1340,2239,,양수,PSH,60,27,696,118,1201,2102,,양수,PSH,62,38,668,100,1448,2315,,양수,PSH,56,42,758,118,300,1273,
신재생,Renewable,52,67,8,26,1421,1575,,신재생,Renewable,40,51,4,24,1108,1226,,신재생,Renewable,36,49,4,26,851,966,,신재생,Renewable,27,7,1,24,461,519,,신재생,Renewable,33,11,8,24,605,680,,신재생,Renewable,36,11,3,24,392,465,,신재생,Renewable,60,7,0,26,525,618,,신재생,Renewable,46,16,7,26,589,683,,신재생,Renewable,38,11,10,25,679,764,,신재생,Renewable,39,21,13,24,975,1071,,신재생,Renewable,38,22,1,23,1063,1147,,신재생,Renewable,42,23,4,26,235,330,
기타,Others,0,0,0,0,0,0,,기타,Others,0,0,0,0,0,0,,기타,Others,0,0,0,0,0,0,,기타,Others,0,0,0,0,0,0,,기타,Others,0,0,0,0,0,0,,기타,Others,0,0,0,0,0,0,,기타,Others,0,0,0,0,0,0,,기타,Others,0,0,0,0,0,0,,기타,Others,0,0,0,0,0,0,,기타,Others,0,0,0,0,0,0,,기타,Others,0,0,0,0,0,0,,기타,Others,0,0,0,0,0,0,
합계,Total,3554,3438,817,167,96171,104149,,합계,Total,3050,2923,762,151,78165,85050,,합계,Total,2833,3269,769,166,68554,75591,,합계,Total,2185,1399,734,148,70185,74651,,합계,Total,2153,1470,787,152,73812,78374,,합계,Total,2339,1494,682,133,46044,50691,,합계,Total,2768,1716,703,138,52745,58070,,합계,Total,2873,1516,796,138,48068,53391,,합계,Total,2362,1494,804,144,68375,73180,,합계,Total,2139,1347,801,147,63628,68062,,합계,Total,2275,1268,741,125,64309,68718,,합계,Total,2570,1098,862,148,12860,17537,
5-2-2. 기저/일반별 연간 계통운영보조서비스정산금(1월),,,,,,,,,5-2-2. 기저/일반별 연간 계통운영보조서비스정산금(2월),,,,,,,,,5-2-2. 기저/일반별 연간 계통운영보조서비스정산금(3월),,,,,,,,,5-2-2. 기저/일반별 연간 계통운영보조서비스정산금(4월),,,,,,,,,5-2-2. 기저/일반별 연간 계통운영보조서비스정산금(5월),,,,,,,,,5-2-2. 기저/일반별 연간 계통운영보조서비스정산금(6월),,,,,,,,,5-2-2. 기저/일반별 연간 계통운영보조서비스정산금(7월),,,,,,,,,5-2-2. 기저/일반별 연간 계통운영보조서비스정산금(8월),,,,,,,,,5-2-2. 기저/일반별 연간 계통운영보조서비스정산금(9월),,,,,,,,,5-2-2. 기저/일반별 연간 계통운영보조서비스정산금(10월),,,,,,,,,5-2-2. 기저/일반별 연간 계통운영보조서비스정산금(11월),,,,,,,,,5-2-2. 기저/일반별 연간 계통운영보조서비스정산금(12월),,,,,,,,
Monthly Ancillary Service Payment by Baseload and General(January),,,,,,,,,Monthly Ancillary Service Payment by Baseload and General(February),,,,,,,,,Monthly Ancillary Service Payment by Baseload and General(March),,,,,,,,,Monthly Ancillary Service Payment by Baseload and General(April),,,,,,,,,Monthly Ancillary Service Payment by Baseload and General(May),,,,,,,,,Monthly Ancillary Service Payment by Baseload and General(June),,,,,,,,,Monthly Ancillary Service Payment by Baseload and General(July),,,,,,,,,Monthly Ancillary Service Payment by Baseload and General(August),,,,,,,,,Monthly Ancillary Service Payment by Baseload and General(September),,,,,,,,,Monthly Ancillary Service Payment by Baseload and General(October),,,,,,,,,Monthly Ancillary Service Payment by Baseload and General(November),,,,,,,,,Monthly Ancillary Service Payment by Baseload and General(December),,,,,,,,
구분,,계통운영보조서비스정산금,,,,,,[단위 : 백만원],구분,,계통운영보조서비스정산금,,,,,,[단위 : 백만원],구분,,계통운영보조서비스정산금,,,,,,[단위 : 백만원],구분,,계통운영보조서비스정산금,,,,,,[단위 : 백만원],구분,,계통운영보조서비스정산금,,,,,,[단위 : 백만원],구분,,계통운영보조서비스정산금,,,,,,[단위 : 백만원],구분,,계통운영보조서비스정산금,,,,,,[단위 : 백만원],구분,,계통운영보조서비스정산금,,,,,,[단위 : 백만원],구분,,계통운영보조서비스정산금,,,,,,[단위 : 백만원],구분,,계통운영보조서비스정산금,,,,,,[단위 : 백만원],구분,,계통운영보조서비스정산금,,,,,,[단위 : 백만원],구분,,계통운영보조서비스정산금,,,,,,[단위 : 백만원]
,,Ancillary Service Payment,,,,,,[Unit : One Million Won],,,Ancillary Service Payment,,,,,,[Unit : One Million Won],,,Ancillary Service Payment,,,,,,[Unit : One Million Won],,,Ancillary Service Payment,,,,,,[Unit : One Million Won],,,Ancillary Service Payment,,,,,,[Unit : One Million Won],,,Ancillary Service Payment,,,,,,[Unit : One Million Won],,,Ancillary Service Payment,,,,,,[Unit : One Million Won],,,Ancillary Service Payment,,,,,,[Unit : One Million Won],,,Ancillary Service Payment,,,,,,[Unit : One Million Won],,,Ancillary Service Payment,,,,,,[Unit : One Million Won],,,Ancillary Service Payment,,,,,,[Unit : One Million Won],,,Ancillary Service Payment,,,,,,[Unit : One Million Won]
,,1차주파수제어서비스정산금,2차주파수제어서비스정산금,3차주파수제어서비스정산금,자체기동정산금,예비력용량가치정산금,보조서비스정산금,,,,1차주파수제어서비스정산금,2차주파수제어서비스정산금,3차주파수제어서비스정산금,자체기동정산금,예비력용량가치정산금,보조서비스정산금,,,,1차주파수제어서비스정산금,2차주파수제어서비스정산금,3차주파수제어서비스정산금,자체기동정산금,예비력용량가치정산금,보조서비스정산금,,,,1차주파수제어서비스정산금,2차주파수제어서비스정산금,3차주파수제어서비스정산금,자체기동정산금,예비력용량가치정산금,보조서비스정산금,,,,1차주파수제어서비스정산금,2차주파수제어서비스정산금,3차주파수제어서비스정산금,자체기동정산금,예비력용량가치정산금,보조서비스정산금,,,,1차주파수제어서비스정산금,2차주파수제어서비스정산금,3차주파수제어서비스정산금,자체기동정산금,예비력용량가치정산금,보조서비스정산금,,,,1차주파수제어서비스정산금,2차주파수제어서비스정산금,3차주파수제어서비스정산금,자체기동정산금,예비력용량가치정산금,보조서비스정산금,,,,1차주파수제어서비스정산금,2차주파수제어서비스정산금,3차주파수제어서비스정산금,자체기동정산금,예비력용량가치정산금,보조서비스정산금,,,,1차주파수제어서비스정산금,2차주파수제어서비스정산금,3차주파수제어서비스정산금,자체기동정산금,예비력용량가치정산금,보조서비스정산금,,,,1차주파수제어서비스정산금,2차주파수제어서비스정산금,3차주파수제어서비스정산금,자체기동정산금,예비력용량가치정산금,보조서비스정산금,,,,1차주파수제어서비스정산금,2차주파수제어서비스정산금,3차주파수제어서비스정산금,자체기동정산금,예비력용량가치정산금,보조서비스정산금,,,,1차주파수제어서비스정산금,2차주파수제어서비스정산금,3차주파수제어서비스정산금,자체기동정산금,예비력용량가치정산금,보조서비스정산금,
,,Primary Control AS Payment,Secondary Control AS Payment,Tertiary Control AS Payment,Black Start Payment,Lost Opportunity Cost of Reserve Payment,ASP Total,,,,Primary Control AS Payment,Secondary Control AS Payment,Tertiary Control AS Payment,Black Start Payment,Lost Opportunity Cost of Reserve Payment,ASP Total,,,,Primary Control AS Payment,Secondary Control AS Payment,Tertiary Control AS Payment,Black Start Payment,Lost Opportunity Cost of Reserve Payment,ASP Total,,,,Primary Control AS Payment,Secondary Control AS Payment,Tertiary Control AS Payment,Black Start Payment,Lost Opportunity Cost of Reserve Payment,ASP Total,,,,Primary Control AS Payment,Secondary Control AS Payment,Tertiary Control AS Payment,Black Start Payment,Lost Opportunity Cost of Reserve Payment,ASP Total,,,,Primary Control AS Payment,Secondary Control AS Payment,Tertiary Control AS Payment,Black Start Payment,Lost Opportunity Cost of Reserve Payment,ASP Total,,,,Primary Control AS Payment,Secondary Control AS Payment,Tertiary Control AS Payment,Black Start Payment,Lost Opportunity Cost of Reserve Payment,ASP Total,,,,Primary Control AS Payment,Secondary Control AS Payment,Tertiary Control AS Payment,Black Start Payment,Lost Opportunity Cost of Reserve Payment,ASP Total,,,,Primary Control AS Payment,Secondary Control AS Payment,Tertiary Control AS Payment,Black Start Payment,Lost Opportunity Cost of Reserve Payment,ASP Total,,,,Primary Control AS Payment,Secondary Control AS Payment,Tertiary Control AS Payment,Black Start Payment,Lost Opportunity Cost of Reserve Payment,ASP Total,,,,Primary Control AS Payment,Secondary Control AS Payment,Tertiary Control AS Payment,Black Start Payment,Lost Opportunity Cost of Reserve Payment,ASP Total,,,,Primary Control AS Payment,Secondary Control AS Payment,Tertiary Control AS Payment,Black Start Payment,Lost Opportunity Cost of Reserve Payment,ASP Total,
기저,Baseload,1943,245,0,0,26576,28764,,기저,Baseload,1610,210,0,0,21481,23300,,기저,Baseload,1333,345,0,0,17779,19457,,기저,Baseload,1094,69,0,0,15560,16723,,기저,Baseload,1075,155,0,0,20245,21475,,기저,Baseload,1279,204,0,0,15042,16525,,기저,Baseload,1638,305,0,0,19266,21208,,기저,Baseload,1690,191,0,0,16816,18696,,기저,Baseload,1214,118,0,0,18236,19569,,기저,Baseload,1070,68,0,0,14096,15234,,기저,Baseload,1220,101,0,0,17097,18417,,기저,Baseload,1471,93,0,0,4055,5620,
일반,General,1611,3193,817,167,69596,75385,,일반,General,1440,2713,762,151,56684,61750,,일반,General,1500,2924,769,166,50776,56134,,일반,General,1091,1330,734,148,54625,57928,,일반,General,1078,1315,787,152,53567,56899,,일반,General,1060,1290,682,133,31002,34166,,일반,General,1131,1411,703,138,33480,36862,,일반,General,1183,1325,796,138,31252,34694,,일반,General,1147,1376,804,144,50139,53611,,일반,General,1069,1279,801,147,49531,52828,,일반,General,1055,1168,741,125,47212,50300,,일반,General,1098,1005,862,148,8804,11917,
합계,Total,3554,3438,817,167,96171,104149,,합계,Total,3050,2923,762,151,78165,85050,,합계,Total,2833,3269,769,166,68554,75591,,합계,Total,2185,1399,734,148,70185,74651,,합계,Total,2153,1470,787,152,73812,78374,,합계,Total,2339,1494,682,133,46044,50691,,합계,Total,2768,1716,703,138,52745,58070,,합계,Total,2873,1516,796,138,48068,53391,,합계,Total,2362,1494,804,144,68375,73180,,합계,Total,2139,1347,801,147,63628,68062,,합계,Total,2275,1268,741,125,64309,68718,,합계,Total,2570,1098,862,148,12860,17537,
