col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010,col_011,col_012,col_013,col_014,col_015,col_016,col_017,col_018,col_019,col_020,col_021,col_022,col_023,col_024,col_025,col_026,col_027,col_028,col_029,col_030,col_031,col_032,col_033,col_034,col_035,col_036,col_037,col_038,col_039,col_040,col_041,col_042,col_043,col_044,col_045,col_046
C 회원사,Member C,72,204,151,90,61,121,113,77,51,52,63,107,1162,,C 회원사,Member C,83,68,55,62,69,67,91,55,38,48,41,39,C 회원사,Member C,21,24,46,37,34,39,38,39,35,44,41,48,1162,
D 회원사,Member D,27,2,0,0,31,68,71,43,56,54,28,72,452,,D 회원사,Member D,10,25,35,43,39,29,13,8,17,15,17,10,D 회원사,Member D,26,9,15,16,16,27,26,16,11,6,7,16,452,
E 회원사,Member E,41,29,11,17,35,8,37,63,25,15,12,27,320,,E 회원사,Member E,7,11,13,19,16,12,6,3,10,14,18,23,E 회원사,Member E,14,18,19,19,10,13,8,16,21,18,8,4,320,
F 회원사,Member F,48,6,4,14,12,7,5,33,10,6,2,31,178,,F 회원사,Member F,2,8,16,20,18,12,8,3,5,8,14,5,F 회원사,Member F,4,4,4,5,9,8,10,9,5,0,1,0,178,
기타,Others,496,335,524,547,554,498,516,522,578,597,581,447,6195,,기타 Others,Others,259,232,215,191,191,222,236,290,266,228,240,248,기타 Others,Others,289,292,255,268,279,264,274,281,288,291,305,291,6195,
합계,Total,744,693,744,720,744,720,744,744,720,744,717,744,8778,,합계,Total,366,366,366,366,366,366,366,366,366,366,366,365,합계,Total,361,366,366,366,366,366,366,366,366,366,366,366,8778,
4-3-1-2. 연료원별 계통한계가격 결정횟수,,,,,,,,,,,,,,,,4-3-2-2. 연료원별 계통한계가격 결정횟수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of System Marginal Price Set by Fuel Type,,,,,,,,,,,,,,,,Number of System Marginal Price Set by Fuel Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구분,,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,합계,[단위 : 횟수],구분,,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,구분,,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시,합계,[단위 : 횟수]
,,January,February,March,April,May,June,July,August,September,October,November,December,Total,[Unit : Number of Times],,,1 Hour,2 Hour,3 Hour,4 Hour,5 Hour,6 Hour,7 Hour,8 Hour,9 Hour,10 Hour,11 Hour,12 Hour,,,13 Hour,14 Hour,15 Hour,16 Hour,17 Hour,18 Hour,19 Hour,20 Hour,21 Hour,22 Hour,23 Hour,24 Hour,Total,[Unit : Number of Times]
원자력,Nuclear Power,0,3,1,0,0,0,0,0,0,0,0,1,5,,원자력,Nuclear Power,0,0,0,0,0,0,0,0,0,0,0,0,원자력,Nuclear Power,2,3,0,0,0,0,0,0,0,0,0,0,5,
석탄,Coal,110,114,15,37,43,19,1,0,0,47,36,136,558,,석탄,Coal,14,57,88,110,102,65,29,11,6,8,7,7,석탄,Coal,4,6,8,7,3,3,2,0,0,4,4,13,558,
LNG,LNG,629,575,728,683,701,701,741,738,719,697,681,606,8199,,LNG,LNG,352,309,278,256,264,301,337,355,360,353,359,358,LNG,LNG,355,357,357,350,363,363,364,366,366,361,362,353,8199,
유류,Oil,2,0,0,0,0,0,2,6,1,0,0,1,12,,유류,Oil,0,0,0,0,0,0,0,0,0,1,0,0,유류,Oil,0,0,1,9,0,0,0,0,0,1,0,0,12,
양수,PSH,0,0,0,0,0,0,0,0,0,0,0,0,0,,양수,PSH,0,0,0,0,0,0,0,0,0,0,0,0,양수,PSH,0,0,0,0,0,0,0,0,0,0,0,0,0,
신재생,Renewable,0,0,0,0,0,0,0,0,0,0,0,0,0,,신재생,Renewable,0,0,0,0,0,0,0,0,0,0,0,0,신재생,Renewable,0,0,0,0,0,0,0,0,0,0,0,0,0,
기타,Others,3,1,0,0,0,0,0,0,0,0,0,0,4,,기타,Others,0,0,0,0,0,0,0,0,0,4,0,0,기타,Others,0,0,0,0,0,0,0,0,0,0,0,0,4,
합계,Total,744,693,744,720,744,720,744,744,720,744,717,744,8778,,합계,Total,366,366,366,366,366,366,366,366,366,366,366,365,합계,Total,361,366,366,366,366,366,366,366,366,366,366,366,8778,
4-3-1-3. 기저/일반별 계통한계가격 결정횟수,,,,,,,,,,,,,,,,4-3-2-3. 기저/일반별 계통한계가격 결정횟수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of System Marginal Price Set by Baseload and General,,,,,,,,,,,,,,,,Number of System Marginal Price Set by Baseload and General,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구분,,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,합계,[단위 : 횟수],구분,,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,구분,,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시,합계,[단위 : 횟수]
,,January,February,March,April,May,June,July,August,September,October,November,December,Total,[Unit : Number of Times],,,1 Hour,2 Hour,3 Hour,4 Hour,5 Hour,6 Hour,7 Hour,8 Hour,9 Hour,10 Hour,11 Hour,12 Hour,,,13 Hour,14 Hour,15 Hour,16 Hour,17 Hour,18 Hour,19 Hour,20 Hour,21 Hour,22 Hour,23 Hour,24 Hour,Total,[Unit : Number of Times]
기저,Baseload,110,117,16,37,43,19,1,0,0,47,36,137,563,,기저,Baseload,14,57,88,110,102,65,29,11,6,8,7,7,기저,Baseload,6,9,8,7,3,3,2,0,0,4,4,13,563,
일반,General,634,576,728,683,701,701,743,744,720,697,681,607,8215,,일반,General,352,309,278,256,264,301,337,355,360,358,359,358,일반,General,355,357,358,359,363,363,364,366,366,362,362,353,8215,
합계,Total,744,693,744,720,744,720,744,744,720,744,717,744,8778,,합계,Total,366,366,366,366,366,366,366,366,366,366,366,365,합계,Total,361,366,366,366,366,366,366,366,366,366,366,366,8778,
