col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010,col_011,col_012,col_013,col_014,col_015,col_016,col_017,col_018,col_019,col_020,col_021,col_022,col_023,col_024,col_025,col_026,col_027,col_028,col_029,col_030,col_031,col_032,col_033,col_034,col_035,col_036,col_037,col_038,col_039,col_040,col_041,col_042,col_043,col_044,col_045,col_046,col_047,col_048,col_049,col_050,col_051,col_052,col_053,col_054,col_055,col_056,col_057,col_058,col_059,col_060,col_061,col_062,col_063,col_064,col_065,col_066,col_067,col_068,col_069,col_070,col_071,col_072,col_073,col_074,col_075,col_076,col_077,col_078,col_079,col_080,col_081,col_082,col_083,col_084,col_085,col_086,col_087,col_088,col_089,col_090,col_091,col_092,col_093,col_094,col_095,col_096,col_097,col_098,col_099,col_100,col_101,col_102,col_103,col_104,col_105,col_106,col_107,col_108,col_109,col_110,col_111,col_112,col_113,col_114,col_115,col_116,col_117,col_118,col_119,col_120
B 회원사,Member B,3553,9362.49224,4137,4051,4051,3172,3172,,B 회원사,Member B,3662,9362.49224,4274,4130,4130,3248,3248,,B 회원사,Member B,2938,9362.49224,3633,3588,3588,2703,2703,,B 회원사,Member B,3074,9362.49224,3728,3664,3664,2629,2629,,B 회원사,Member B,3428,9362.49224,4115,3971,3971,3092,3092,,B 회원사,Member B,3063,9362.49224,4391,4328,4328,2977,2977,,B 회원사,Member B,4008,9362.49224,4938,4871,4871,3929,3929,,B 회원사,Member B,3951,9362.49224,4726,4601,4601,3791,3791,,B 회원사,Member B,3558,9362.49224,4294,4248,4248,3450,3450,,B 회원사,Member B,2977,9362.49224,3918,3748,3748,2438,2438,,B 회원사,Member B,2751,9362.49224,3533,3464,3464,2326,2325,,B 회원사,Member B,2867,9362.49224,4288,4210,4210,3173,3173,
C 회원사,Member C,3797,10777.44896,7363,7340,7339,3438,3438,,C 회원사,Member C,3669,10777.44896,6699,6671,6669,2827,2827,,C 회원사,Member C,2822,10777.44896,5566,5518,5516,2469,2469,,C 회원사,Member C,1730,10777.44896,4315,4256,4243,1591,1591,,C 회원사,Member C,2037,10777.44896,4624,4549,4546,2134,2134,,C 회원사,Member C,2962,10778.44596,5548,5261,5252,2819,2819,,C 회원사,Member C,4289,10779.94496,6667,6574,6573,4032,4032,,C 회원사,Member C,4530,10779.94496,6978,6945,6928,4420,4420,,C 회원사,Member C,3772,10779.94496,6121,6019,6005,3394,3394,,C 회원사,Member C,2990,10779.94496,5843,5651,5646,2571,2571,,C 회원사,Member C,3754,10779.94496,6524,6276,6263,2965,2965,,C 회원사,Member C,4425,10779.94496,6893,6793,6788,3935,3935,
D 회원사,Member D,3088,10517.45385,6641,6587,6586,2529,2529,,D 회원사,Member D,3102,10517.45385,5682,5649,5648,2662,2662,,D 회원사,Member D,1958,10517.45385,4116,3909,3901,1849,1849,,D 회원사,Member D,1874,10517.45385,3980,3855,3854,1743,1743,,D 회원사,Member D,2388,10517.45385,4684,4624,4624,2365,2365,,D 회원사,Member D,3022,10644.97385,5329,5091,5091,2799,2799,,D 회원사,Member D,4201,10644.97385,6408,6246,6244,4136,4136,,D 회원사,Member D,4170,10644.97385,6453,6317,6313,4238,4238,,D 회원사,Member D,3701,10644.97385,5913,5713,5712,3606,3606,,D 회원사,Member D,3109,11146.37385,5421,5157,5156,2868,2868,,D 회원사,Member D,3296,11146.37385,5120,4936,4935,3121,3121,,D 회원사,Member D,4455,11146.37385,6643,6285,6279,4114,4114,
E 회원사,Member E,3212,12183.657045,8953,8908,8907,2794,2794,,E 회원사,Member E,2265,12183.657045,7393,7366,7366,2454,2454,,E 회원사,Member E,1977,12183.657045,6747,6703,6703,1957,1957,,E 회원사,Member E,2129,12183.657045,5464,5394,5394,2155,2155,,E 회원사,Member E,2495,12183.657045,6653,6575,6575,2883,2883,,E 회원사,Member E,2393,12183.657045,6872,6664,6662,2708,2708,,E 회원사,Member E,3673,12183.657045,8392,8345,8345,4122,4122,,E 회원사,Member E,4285,12183.657045,8564,8520,8519,4487,4487,,E 회원사,Member E,3856,12183.657045,8056,7994,7994,3999,3999,,E 회원사,Member E,2796,12183.657045,7012,6810,6810,2846,2846,,E 회원사,Member E,2896,12184.356825,7553,7496,7495,2702,2702,,E 회원사,Member E,3105,12184.356825,8810,8770,8769,3276,3276,
F 회원사,Member F,3448,9674.12129,5954,5952,5952,2937,2937,,F 회원사,Member F,2977,9674.12129,5189,5140,5139,2429,2429,,F 회원사,Member F,2391,9674.12129,4803,4741,4740,1996,1996,,F 회원사,Member F,2194,9674.12129,4111,4007,3993,1639,1639,,F 회원사,Member F,2619,9674.78789,4488,4343,4343,1893,1893,,F 회원사,Member F,3108,9675.24879,4800,4592,4590,2231,2231,,F 회원사,Member F,3663,9677.95324,6236,6080,6078,3384,3384,,F 회원사,Member F,3900,9678.48089,6162,6096,6096,3793,3793,,F 회원사,Member F,3612,10250.25419,5756,5725,5720,3405,3405,,F 회원사,Member F,3203,10250.88299,5734,5535,5533,2916,2916,,F 회원사,Member F,3277,10261.66079,5068,4753,4748,2767,2767,,F 회원사,Member F,3667,10264.95575,6129,5965,5961,3303,3303,
기타,Others,10335,58500.24325300001,26701,26259,26250,16534,16470,,기타,Others,10304,58640.712882999986,24231,23777,23770,15762,15695,,기타,Others,11192,58700.31958799997,25126,24693,24684,16257,16193,,기타,Others,9242,58893.561072999975,21509,21249,21239,15019,14941,,기타,Others,8334,58971.423067999975,19517,19181,19172,13273,13196,,기타,Others,9840,59130.39394300002,22926,22342,22334,14926,14845,,기타,Others,13749,59844.35733300002,25068,24775,24768,17619,17535,,기타,Others,13753,59894.698176000005,25225,25075,25068,17955,17870,,기타,Others,10705,60141.95739100003,23516,23197,23183,14813,14747,,기타,Others,8586,60278.57602100003,22726,22196,22180,14545,14470,,기타,Others,9385,60363.43382600002,24045,23549,23532,15421,15337,,기타,Others,10827,60947.79130100002,27062,26509,26498,15658,15566,
합계,Total,44473,142483.682318,76879,76202,76191,48925,48860,,합계,Total,41422,142624.15194799998,68981,68243,68231,45264,45196,,합계,Total,40146,142683.75865299997,67242,66352,66331,44752,44688,,합계,Total,35466,142877.00013799997,58442,57761,57722,40474,40396,,합계,Total,36460,142955.52873299998,59414,58576,58563,41352,41275,,합계,Total,38725,143244,64374,62775,62753,43312,43231,,합계,Total,48136,143961.64434800003,72378,71510,71496,52201,52117,,합계,Total,48033,144012.51284100002,71647,71041,71013,52484,52399,,합계,Total,42771,144831.54535600005,67397,66659,66624,46732,46666,,합계,Total,36766,145470.19278600003,63947,62372,62346,41817,41741,,합계,Total,37896,145566.528171,64467,63032,62996,42183,42099,,합계,Total,44056,146157.180606,74611,73320,73293,48587,48494,
2-2-2. 연료원별 월간 항목별 전력거래량(1월),,,,,,,,,,2-2-2. 연료원별 월간 항목별 전력거래량(2월),,,,,,,,,,2-2-2. 연료원별 월간 항목별 전력거래량(3월),,,,,,,,,,2-2-2. 연료원별 월간 항목별 전력거래량(4월),,,,,,,,,,2-2-2. 연료원별 월간 항목별 전력거래량(5월),,,,,,,,,,2-2-2. 연료원별 월간 항목별 전력거래량(6월),,,,,,,,,,2-2-2. 연료원별 월간 항목별 전력거래량(7월),,,,,,,,,,2-2-2. 연료원별 월간 항목별 전력거래량(8월),,,,,,,,,,2-2-2. 연료원별 월간 항목별 전력거래량(9월),,,,,,,,,,2-2-2. 연료원별 월간 항목별 전력거래량(10월),,,,,,,,,,2-2-2. 연료원별 월간 항목별 전력거래량(11월),,,,,,,,,,2-2-2. 연료원별 월간 항목별 전력거래량(12월),,,,,,,,,
Monthly Electric Energy Trading Volume by Item by Fuel Type(January),,,,,,,,,,Monthly Electric Energy Trading Volume by Item by Fuel Type(February),,,,,,,,,,Monthly Electric Energy Trading Volume by Item by Fuel Type(March),,,,,,,,,,Monthly Electric Energy Trading Volume by Item by Fuel Type(April),,,,,,,,,,Monthly Electric Energy Trading Volume by Item by Fuel Type(May),,,,,,,,,,Monthly Electric Energy Trading Volume by Item by Fuel Type(June),,,,,,,,,,Monthly Electric Energy Trading Volume by Item by Fuel Type(July),,,,,,,,,,Monthly Electric Energy Trading Volume by Item by Fuel Type(August),,,,,,,,,,Monthly Electric Energy Trading Volume by Item by Fuel Type(September),,,,,,,,,,Monthly Electric Energy Trading Volume by Item by Fuel Type(October),,,,,,,,,,Monthly Electric Energy Trading Volume by Item by Fuel Type(November),,,,,,,,,,Monthly Electric Energy Trading Volume by Item by Fuel Type(December),,,,,,,,,
구분,,발전계획량,시장참여설비용량,"초기
입찰량","변경
입찰량","조정
입찰량","발전
계량값","전력
거래량","[단위 : GWh, MW]",구분,,발전계획량,시장참여설비용량,"초기
입찰량","변경
입찰량","조정
입찰량","발전
계량값","전력
거래량","[단위 : GWh, MW]",구분,,발전계획량,시장참여설비용량,"초기
입찰량","변경
입찰량","조정
입찰량","발전
계량값","전력
거래량","[단위 : GWh, MW]",구분,,발전계획량,시장참여설비용량,"초기
입찰량","변경
입찰량","조정
입찰량","발전
계량값","전력
거래량","[단위 : GWh, MW]",구분,,발전계획량,시장참여설비용량,"초기
입찰량","변경
입찰량","조정
입찰량","발전
계량값","전력
거래량","[단위 : GWh, MW]",구분,,발전계획량,시장참여설비용량,"초기
입찰량","변경
입찰량","조정
입찰량","발전
계량값","전력
거래량","[단위 : GWh, MW]",구분,,발전계획량,시장참여설비용량,"초기
입찰량","변경
입찰량","조정
입찰량","발전
계량값","전력
거래량","[단위 : GWh, MW]",구분,,발전계획량,시장참여설비용량,"초기
입찰량","변경
입찰량","조정
입찰량","발전
계량값","전력
거래량","[단위 : GWh, MW]",구분,,발전계획량,시장참여설비용량,"초기
입찰량","변경
입찰량","조정
입찰량","발전
계량값","전력
거래량","[단위 : GWh, MW]",구분,,발전계획량,시장참여설비용량,"초기
입찰량","변경
입찰량","조정
입찰량","발전
계량값","전력
거래량","[단위 : GWh, MW]",구분,,발전계획량,시장참여설비용량,"초기
입찰량","변경
입찰량","조정
입찰량","발전
계량값","전력
거래량","[단위 : GWh, MW]",구분,,발전계획량,시장참여설비용량,"초기
입찰량","변경
입찰량","조정
입찰량","발전
계량값","전력
거래량","[단위 : GWh, MW]"
,,Day-Ahead Operation Scheduled energy,Market-Registered Generation Capacity,Availability,Re-offered Availability,Adjusted Re-offered Availability,Metered Generation Output,Electric Energy Trading Volume,"[Unit : GWh, MW]",,,Day-Ahead Operation Scheduled energy,Market-Registered Generation Capacity,Availability,Re-offered Availability,Adjusted Re-offered Availability,Metered Generation Output,Electric Energy Trading Volume,"[Unit : GWh, MW]",,,Day-Ahead Operation Scheduled energy,Market-Registered Generation Capacity,Availability,Re-offered Availability,Adjusted Re-offered Availability,Metered Generation Output,Electric Energy Trading Volume,"[Unit : GWh, MW]",,,Day-Ahead Operation Scheduled energy,Market-Registered Generation Capacity,Availability,Re-offered Availability,Adjusted Re-offered Availability,Metered Generation Output,Electric Energy Trading Volume,"[Unit : GWh, MW]",,,Day-Ahead Operation Scheduled energy,Market-Registered Generation Capacity,Availability,Re-offered Availability,Adjusted Re-offered Availability,Metered Generation Output,Electric Energy Trading Volume,"[Unit : GWh, MW]",,,Day-Ahead Operation Scheduled energy,Market-Registered Generation Capacity,Availability,Re-offered Availability,Adjusted Re-offered Availability,Metered Generation Output,Electric Energy Trading Volume,"[Unit : GWh, MW]",,,Day-Ahead Operation Scheduled energy,Market-Registered Generation Capacity,Availability,Re-offered Availability,Adjusted Re-offered Availability,Metered Generation Output,Electric Energy Trading Volume,"[Unit : GWh, MW]",,,Day-Ahead Operation Scheduled energy,Market-Registered Generation Capacity,Availability,Re-offered Availability,Adjusted Re-offered Availability,Metered Generation Output,Electric Energy Trading Volume,"[Unit : GWh, MW]",,,Day-Ahead Operation Scheduled energy,Market-Registered Generation Capacity,Availability,Re-offered Availability,Adjusted Re-offered Availability,Metered Generation Output,Electric Energy Trading Volume,"[Unit : GWh, MW]",,,Day-Ahead Operation Scheduled energy,Market-Registered Generation Capacity,Availability,Re-offered Availability,Adjusted Re-offered Availability,Metered Generation Output,Electric Energy Trading Volume,"[Unit : GWh, MW]",,,Day-Ahead Operation Scheduled energy,Market-Registered Generation Capacity,Availability,Re-offered Availability,Adjusted Re-offered Availability,Metered Generation Output,Electric Energy Trading Volume,"[Unit : GWh, MW]",,,Day-Ahead Operation Scheduled energy,Market-Registered Generation Capacity,Availability,Re-offered Availability,Adjusted Re-offered Availability,Metered Generation Output,Electric Energy Trading Volume,"[Unit : GWh, MW]"
,,(GWh),(MW),(GWh),(GWh),(GWh),(GWh),(GWh),,,,(GWh),(MW),(GWh),(GWh),(GWh),(GWh),(GWh),,,,(GWh),(MW),(GWh),(GWh),(GWh),(GWh),(GWh),,,,(GWh),(MW),(GWh),(GWh),(GWh),(GWh),(GWh),,,,(GWh),(MW),(GWh),(GWh),(GWh),(GWh),(GWh),,,,(GWh),(MW),(GWh),(GWh),(GWh),(GWh),(GWh),,,,(GWh),(MW),(GWh),(GWh),(GWh),(GWh),(GWh),,,,(GWh),(MW),(GWh),(GWh),(GWh),(GWh),(GWh),,,,(GWh),(MW),(GWh),(GWh),(GWh),(GWh),(GWh),,,,(GWh),(MW),(GWh),(GWh),(GWh),(GWh),(GWh),,,,(GWh),(MW),(GWh),(GWh),(GWh),(GWh),(GWh),,,,(GWh),(MW),(GWh),(GWh),(GWh),(GWh),(GWh),
원자력,Nuclear Power,17040,26050,17055,17030,17030,17015,17015,,원자력,Nuclear Power,15443,26050,15458,15454,15454,15430,15430,,원자력,Nuclear Power,16868,26050,17200,17147,17147,16997,16997,,원자력,Nuclear Power,15222,26050,15258,15251,15251,15164,15164,,원자력,Nuclear Power,15158,26050,15182,15179,15179,15112,15112,,원자력,Nuclear Power,14338,26050,14341,14333,14333,14318,14318,,원자력,Nuclear Power,14553,26050,14553,14500,14500,14487,14487,,원자력,Nuclear Power,13445,26050,13445,13367,13367,13354,13354,,원자력,Nuclear Power,13567,26050,13568,13533,13532,13521,13521,,원자력,Nuclear Power,13105,26050,13110,13063,13063,13047,13047,,원자력,Nuclear Power,12537,26050,12549,12479,12478,12404,12404,,원자력,Nuclear Power,14710,26050,14712,14713,14713,14701,14701,
석탄,Coal,15840,41740,23824,23621,23616,12709,12709,,석탄,Coal,14759,41740,21393,21156,21154,10950,10950,,석탄,Coal,12117,41740,17938,17672,17666,9163,9163,,석탄,Coal,11345,41740,15962,15777,15776,7936,7936,,석탄,Coal,13974,41740,19158,18780,18777,10199,10199,,석탄,Coal,15257,41740,22007,21576,21569,13361,13361,,석탄,Coal,21449,41740,25903,25535,25532,19582,19582,,석탄,Coal,21649,41739,25733,25444,25440,20208,20208,,석탄,Coal,19745,41739,23832,23386,23383,18203,18203,,석탄,Coal,16033,41739,21345,20863,20860,12913,12913,,석탄,Coal,15988,41739,21479,21210,21206,12907,12906,,석탄,Coal,17639,41739,24601,24194,24190,16660,16660,
LNG,LNG,11122,46662,34730,34278,34271,15345,15345,,LNG,LNG,10745,46662,30985,30482,30472,14954,14954,,LNG,LNG,10889,46662,30994,30403,30387,14627,14627,,LNG,LNG,8501,46662,26098,25656,25619,13198,13198,,LNG,LNG,7063,46662,23953,23484,23474,11771,11771,,LNG,LNG,8595,45685,26615,25559,25544,11429,11429,,LNG,LNG,11422,47315,30402,29963,29952,13720,13720,,LNG,LNG,12525,47315,31272,31015,30990,14853,14853,,LNG,LNG,9047,47886,28814,28499,28467,11377,11377,,LNG,LNG,7095,48388,27855,26799,26777,11851,11850,,LNG,LNG,8831,47283,29050,28006,27974,12843,12843,,LNG,LNG,11305,48388,34101,33223,33200,13261,13261,
유류,Oil,29,531,424,424,424,28,28,,유류,Oil,19,531,381,378,378,18,18,,유류,Oil,7,531,405,405,405,5,5,,유류,Oil,5,531,340,340,340,4,4,,유류,Oil,4,531,338,338,338,4,4,,유류,Oil,4,531,346,345,345,3,3,,유류,Oil,4,531,347,346,346,6,6,,유류,Oil,4,531,347,347,347,9,9,,유류,Oil,54,531,343,342,342,52,52,,유류,Oil,4,531,367,367,367,4,4,,유류,Oil,7,531,386,386,386,4,4,,유류,Oil,25,531,419,419,419,24,24,
양수,PSH,0,4700,13,13,13,417,417,,양수,PSH,0,4700,4,4,4,370,370,,양수,PSH,0,4700,1,1,1,444,444,,양수,PSH,0,4700,8,8,8,427,427,,양수,PSH,0,4700,5,5,5,421,421,,양수,PSH,0,4700,4,4,4,345,345,,양수,PSH,0,4700,3,3,3,347,347,,양수,PSH,0,4700,2,2,2,297,297,,양수,PSH,0,4700,12,10,10,294,294,,양수,PSH,0,4700,4,4,4,348,348,,양수,PSH,0,4700,1,1,1,370,370,,양수,PSH,0,4700,8,8,8,334,334,
신재생,Renewable,423,17533,778,782,782,3195,3130,,신재생,Renewable,433,17674,711,718,718,3315,3248,,신재생,Renewable,258,17730,646,667,667,3287,3223,,신재생,Renewable,204,17926,542,569,569,3439,3361,,신재생,Renewable,261,18005,737,750,750,3634,3558,,신재생,Renewable,293,18165,772,730,730,3495,3414,,신재생,Renewable,348,18355,765,768,768,3603,3519,,신재생,Renewable,410,18404,803,821,821,3566,3481,,신재생,Renewable,358,18652,818,879,879,3113,3046,,신재생,Renewable,433,18786,1150,1164,1164,3386,3311,,신재생,Renewable,308,18879,698,696,696,3244,3160,,신재생,Renewable,359,19457,710,705,705,3337,3245,
기타,Others,18,5267,55,55,55,216,216,,기타,Others,22,5267,51,51,51,227,227,,기타,Others,7,5271,57,57,57,229,229,,기타,Others,188,5268,233,160,158,306,306,,기타,Others,0,5268,40,40,40,210,210,,기타,Others,239,6372,288,228,228,361,361,,기타,Others,359,5270,405,395,395,457,457,,기타,Others,0,5274,45,45,45,197,197,,기타,Others,0,5274,11,11,11,173,173,,기타,Others,96,5276,117,111,111,268,268,,기타,Others,225,6385,303,255,254,412,412,,기타,Others,18,5293,58,58,58,270,270,
